episode,losses,rewards
0,1.06664383411,22.0
1,2.2545273304,32.0
2,16.7793655396,13.0
3,49.4335708618,10.0
4,76.7466812134,12.0
5,85.9401092529,11.0
6,71.2656936646,15.0
7,42.8578681946,10.0
8,28.5063686371,9.0
9,20.9094257355,11.0
10,16.2348537445,11.0
11,15.6332788467,14.0
12,19.7815074921,28.0
13,249.458999634,11.0
14,197.43119812,11.0
15,68.7553253174,46.0
16,54.1887245178,18.0
17,40.3653869629,22.0
18,34.6366348267,15.0
19,31.4839782715,15.0
20,27.475435257,13.0
21,20.2812900543,24.0
22,21.7887153625,11.0
23,67.5747375488,11.0
24,102.913917542,11.0
25,102.315864563,12.0
26,90.2765808105,10.0
27,75.1886367798,11.0
28,57.598400116,15.0
29,77.7319641113,11.0
30,64.344909668,14.0
31,42.5830574036,12.0
32,39.204914093,10.0
33,32.1691970825,17.0
34,22.2453937531,17.0
35,17.0717391968,23.0
36,11.9753236771,15.0
37,9.45898914337,21.0
38,9.31334590912,60.0
39,19.6184501648,32.0
40,73.869140625,60.0
41,164.961044312,11.0
42,234.7862854,17.0
43,230.051345825,10.0
44,188.403274536,12.0
45,138.887542725,11.0
46,269.574829102,13.0
47,520.898925781,9.0
48,1044.59545898,16.0
49,361.515991211,35.0
50,156.231887817,22.0
51,160.304656982,26.0
52,76.723777771,19.0
53,60.8259620667,45.0
54,69.9378967285,32.0
55,81.5559158325,33.0
56,111.555038452,35.0
57,125.502616882,53.0
58,114.185806274,43.0
59,98.7334671021,69.0
60,154.310272217,27.0
61,330.55368042,13.0
62,587.768920898,10.0
63,616.370727539,34.0
64,1568.02148438,9.0
65,9336.84179688,27.0
66,8916.55566406,10.0
67,7224.50439453,27.0
68,2941.80078125,12.0
69,1673.43762207,9.0
70,1067.22094727,15.0
71,810.054382324,25.0
72,1180.9777832,74.0
73,5324.19335938,25.0
74,1857.93920898,41.0
75,991.147277832,58.0
76,629.355529785,23.0
77,943.448730469,20.0
78,1121.53405762,12.0
79,967.81060791,23.0
80,689.56060791,26.0
81,763.949401855,69.0
82,2644.71484375,37.0
83,1230.95361328,140.0
84,348.917114258,45.0
85,666.997558594,68.0
86,944.895446777,78.0
87,518.387756348,57.0
88,451.094787598,45.0
89,608.729431152,48.0
90,602.952758789,37.0
91,452.04989624,24.0
92,338.872619629,50.0
93,229.189285278,48.0
94,168.163742065,39.0
95,159.645324707,57.0
96,179.152862549,65.0
97,231.953491211,98.0
98,282.261810303,49.0
99,203.094451904,60.0
